File Name,Lines
Semanticer.cs,3274
LLVMCodeGenerator.cs,1937
Parser.cs,1306
Lexer.cs,803
CodeGenerator.cs,678
Scope.cs,529
CType.cs,417
AstExpression.cs,357
AnalyzedAstPrinter.cs,347
RawAstPrinter.cs,317
TypeResolver.cs,306
AstStatement.cs,255
Compiler.cs,249
AstDeclaration.cs,244
Linker.cs,204
Pass1.cs,166
Util.cs,143
Extensions.cs,141
TypeExpressions.cs,130
IOperator.cs,120
Pass2.cs,119
Visitor.cs,118
Workspace.cs,106
Pass6.cs,105
ErrorHandler.cs,90
Pass4.cs,88
AttributeKind.cs,72
TypeInference.cs,70
DesugaredExpressions.cs,69
Pass3.cs,64
OS.cs,64
IRFunction.cs,56
IRInstruction.cs,55
UniqueNameDecorator.cs,49
IRBuilder.cs,48
CheezValue.cs,39
AstLocation.cs,31
IRInterpreter.cs,19
AstDirective.cs,19
ICodeGenerator.cs,9
Pass_.cs,6
Total,13219
