File Name,Lines
Parser.cs,1370
Lexer.cs,677
TypeInference.cs,633
Scope.cs,543
AnalyzedAstPrinter.cs,457
TypeResolver.cs,441
AstExpression.cs,435
RawAstPrinter.cs,361
AstDeclaration.cs,275
Compiler.cs,271
FunctionAnalysis.cs,259
AstStatement.cs,252
PrimitiveTypes.cs,217
Pass1.cs,216
ComplexTypes.cs,158
Util.cs,150
Pass6.cs,149
TypeExpressions.cs,149
NumberData.cs,137
Visitor.cs,136
Workspace.cs,130
Pass2.cs,122
IOperator.cs,122
Pass4.cs,104
DesugaredExpressions.cs,97
AbstractTypes.cs,93
ErrorHandler.cs,90
Pass3.cs,65
Location.cs,57
UniqueNameDecorator.cs,49
CheezType.cs,46
AssemblyInfo.cs,32
AstDirective.cs,19
Pass7.cs,16
ICodeGenerator.cs,9
Pass_.cs,6
Total,8343
