File Name,Lines
TypeInference.cs,4868
ExpressionGenerator.cs,1982
Parser.cs,1826
CodeGeneratorHelpers.cs,1106
PassVariableLifetimes.cs,1029
AnalyzedAstPrinter.cs,830
AstExpression.cs,784
Lexer.cs,727
FunctionAnalysis.cs,700
Scope.cs,676
AstDeclaration.cs,505
PrimitiveTypes.cs,494
RawAstPrinter.cs,462
TypeResolver.cs,453
ResolveImpls.cs,390
PassResolveDeclatarions.cs,361
CodeGeneratorMain.cs,356
CheezLanguageServer.cs,335
StatementGenerator.cs,334
ComplexTypes.cs,332
IOperator.cs,331
EnumStuff.cs,295
Compiler.cs,295
Main.cs,286
NodeFinder.cs,283
AstStatement.cs,273
LLVMLinker.cs,272
StructStuff.cs,256
Workspace.cs,254
ImplStuff.cs,250
ConsoleErrorHandler.cs,239
Pass4.cs,203
CheezType.cs,201
VariableDeclarationStuff.cs,197
ResolveTypeDeclarations.cs,196
TraitStuff.cs,190
Util.cs,184
NumberData.cs,177
Extensions.cs,166
Visitor.cs,150
DesugaredExpressions.cs,148
AbstractTypes.cs,132
DependencyCollection.cs,119
TextDocumentManager.cs,106
TypeExpressions.cs,100
OS.cs,90
ErrorHandler.cs,90
SymbolFinder.cs,89
DwarfATE.cs,78
Move.cs,77
SignatureAstPrinter.cs,73
AttributeKind.cs,73
Program.cs,72
ClangLinker.cs,71
Location.cs,64
Pass1.cs,55
DIBuilder.cs,40
ListLexer.cs,39
Logger.cs,35
ResetExpr.cs,32
AssemblyInfo.cs,32
AstDirective.cs,24
CompilerLibrary.AssemblyInfo.cs,20
CompilerLibrary.AssemblyInfo.cs,20
CompilerLibrary.AssemblyInfo.cs,20
CompilerLibrary.AssemblyInfo.cs,20
CompilerLibrary.AssemblyInfo.cs,20
LLVMCS.AssemblyInfo.cs,19
LLVMCS.AssemblyInfo.cs,19
LLVMSharpBackend.AssemblyInfo.cs,19
CompilerCLI.AssemblyInfo.cs,19
CompilerCLI.AssemblyInfo.cs,19
LLVMSharpBackend.AssemblyInfo.cs,19
LLVMCS.AssemblyInfo.cs,19
LLVMSharpBackend.AssemblyInfo.cs,19
LLVMSharpBackend.AssemblyInfo.cs,19
LLVMSharpBackend.AssemblyInfo.cs,19
CompilerCLI.AssemblyInfo.cs,19
CompilerCLI.AssemblyInfo.cs,19
CompilerCLI.AssemblyInfo.cs,19
CompilerCLI.AssemblyInfo.cs,19
CompilerCLI.AssemblyInfo.cs,19
DummyBackend.AssemblyInfo.cs,19
CompilerCLI.AssemblyInfo.cs,19
CompilerCLI.AssemblyInfo.cs,19
CompilerLibrary.AssemblyInfo.cs,15
TextDocumentChangedEventArgs.cs,14
LLVMSharpBackend.AssemblyInfo.cs,14
ICodeGenerator.cs,9
Pass_.cs,6
Total,25387
