File Name,Lines
imgui_binding.che,6561
glad_binding.che,2890
clang.che,1185
lexer.che,835
constants.che,652
glfw3.che,577
clap.che,377
functions.che,339
pixel_game_engine.che,275
compiler_test.che,253
cli.che,236
pge_render_functions.che,231
olc_win.che,183
lua.che,171
glfw_binding.che,165
error_handler.che,112
ast.che,111
key.che,107
pge_helper_functions.che,82
sprite.che,71
type.che,69
parser.che,58
string_database.che,45
opencv.che,41
pixel.che,28
cheez_compiler.che,24
opengl.che,20
types.che,16
glew.che,15
bmp.che,4
Total,15733
