File Name,Lines
opengl_constants.che,651
signed_distance_field_renderer.che,523
opengl_functions.che,338
io.che,304
string.che,254
glfw3.che,201
lexer.che,194
stack_allocator.che,163
token.che,153
hash_table_test.che,122
trait_function_call_performance.che,108
array.che,87
glfw3_example.che,82
named_return.che,74
opengl_types.che,71
math.che,70
counting_allocator.che,52
local_variables.che,36
main.che,29
tuple.che,25
util.che,25
allocator.che,25
stdio.che,23
windows.che,21
std_heap_allocator.che,17
block_expr.che,17
const_and_poly.che,17
file.che,15
glew.che,15
global_variables.che,15
printf.che,10
test.che,10
opengl.che,4
memory.che,4
bmp.che,2
Total,3757
