File Name,Lines
Semanticer.cs,1197
Parser.cs,1019
LLVMCodeGenerator.cs,800
Lexer.cs,630
CppCodeGenerator.cs,594
TypeChecker.cs,536
AstExpression.cs,491
CType.cs,316
Scope.cs,296
PTExpressions.cs,253
ScopeCreator.cs,195
AstDeclaration.cs,180
AstStatement.cs,174
PTDeclarations.cs,172
PTStatements.cs,144
Compiler.cs,118
StatementQueue.cs,95
AstPrinter.cs,95
Util.cs,92
PriorityQueue.cs,77
PTTypeExpression.cs,77
Visitor.cs,72
CompilationQueue.cs,65
IOperator.cs,60
IRFunction.cs,56
IRInstruction.cs,55
Workspace.cs,53
Operator.cs,48
IRBuilder.cs,48
UniqueNameDecorator.cs,48
PTDirective.cs,26
AstPrintStatement.cs,26
PTPrintStatement.cs,24
ParseTreeItem.cs,24
IRInterpreter.cs,19
AstDirective.cs,16
ErrorHandler.cs,13
ICodeGenerator.cs,8
